ownership_type,nexus_rating,energy_footprint,core_reactor_size,harvesting_space,vertical_alignment,power_chambers,energy_flow_design,upper_collector_height,shared_conversion_units,isolated_conversion_units,internal_collectors,external_collectors,ambient_harvesters,shielded_harvesters,efficiency_grade,grid_connections
,216669950.0,500.0,40.0,290.0,2.0,6.0,,3.0,4.0,0.0,0.0,1.0,,,3.0,2.0
,9500000.0,29.0,8.0,16.0,10.0,1.0,,,1.0,0.0,1.0,0.0,,,3.0,2.0
3.0,10119246.0,41.9,11.4,17.2,21.0,1.0,,2.9,,,,,0.0,1.0,,1.0
,16300000.0,48.0,10.0,26.0,12.0,2.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0
,24950000.0,79.0,9.0,55.0,16.0,3.0,,,2.0,0.0,0.0,1.0,,,3.0,2.0
,32500000.0,105.0,16.0,60.0,14.0,3.0,,,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0
,42000000.0,63.0,,42.0,12.0,2.0,,3.2,1.0,0.0,0.0,1.0,,,3.0,1.0
,47000000.0,117.0,,,13.0,3.0,,,2.0,0.0,1.0,1.0,,,3.0,2.0
,47500000.0,122.0,15.0,65.5,14.0,3.0,1.0,3.2,,,1.0,1.0,,,3.0,1.0
,62999000.0,198.0,20.0,135.0,26.0,3.0,1.0,3.1,2.0,0.0,1.0,1.0,,,2.0,1.0
,69990000.0,153.0,,,40.0,4.0,,3.3,,,0.0,1.0,,,0.0,2.0
,95000000.0,185.0,,,9.0,4.0,,,3.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0
,175000000.0,250.05,100.0,90.0,23.0,5.0,,3.0,,,,,0.0,2.0,3.0,2.0
,7345084.0,40.41,17.0,13.9,13.0,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0
,7700000.0,38.1,9.8,15.4,11.0,1.0,,2.7,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0
,10810000.0,46.0,11.4,17.5,10.0,1.0,,2.9,0.0,1.0,1.0,0.0,0.0,1.0,,1.0
,11300000.0,50.4,13.1,20.1,15.0,1.0,,2.9,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
,11750000.0,54.0,9.0,32.0,1.0,2.0,,,0.0,1.0,,,1.0,0.0,1.0,1.0
,12341590.0,59.5,10.5,31.0,8.0,2.0,1.0,,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0
,12353000.0,63.8,12.2,31.8,12.0,2.0,1.0,2.9,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
,14200000.0,77.5,9.0,,2.0,3.0,,,0.0,2.0,,,1.0,0.0,2.0,1.0
,15183000.0,74.3,15.8,34.0,4.0,2.0,1.0,2.9,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
,16500000.0,62.0,12.0,35.0,6.0,3.0,,2.8,2.0,0.0,0.0,1.0,,,3.0,1.0
,16800000.0,71.0,14.0,40.0,4.0,2.0,,,,,1.0,0.0,,,0.0,2.0
,18900000.0,81.0,15.0,50.0,8.0,3.0,,,,,1.0,0.0,,,0.0,2.0
,20000000.0,56.0,8.0,27.0,3.0,2.0,1.0,,0.0,1.0,1.0,0.0,,,2.0,2.0
,21900000.0,97.0,,,16.0,2.0,,,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
,23500000.0,85.0,12.0,60.0,3.0,3.0,,,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0
,24500000.0,91.7,13.6,47.0,22.0,3.0,,3.8,2.0,0.0,,,2.0,0.0,0.0,1.0
,29000000.0,76.0,13.0,60.0,7.0,2.0,,,2.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0
,30000000.0,79.0,20.0,50.0,19.0,2.0,,,,,1.0,0.0,,,3.0,2.0
,32900000.0,84.1,,,15.0,2.0,,,0.0,1.0,,,0.0,1.0,1.0,1.0
,33000000.0,77.9,15.9,37.8,9.0,2.0,1.0,,2.0,0.0,,,1.0,0.0,2.0,1.0
3.0,33022277.0,183.87,5.4,125.8,27.0,1.0,,3.3,1.0,1.0,,,0.0,1.0,,1.0
,39900000.0,99.0,15.8,40.0,22.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0
,45500000.0,137.0,18.0,76.0,1.0,3.0,,,,,1.0,0.0,,,3.0,2.0
,49000000.0,134.0,12.0,105.0,3.0,3.0,,,2.0,0.0,1.0,0.0,,,3.0,2.0
,49801897.0,100.56,15.0,75.0,3.0,1.0,,,,,1.0,1.0,,,0.0,1.0
,52000000.0,122.0,10.0,105.0,6.0,4.0,,,,,1.0,0.0,,,2.0,2.0
,56600000.0,210.0,20.0,150.0,4.0,3.0,,,2.0,2.0,0.0,1.0,0.0,1.0,,2.0
,59000000.0,164.5,15.0,91.0,1.0,5.0,,,2.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0
,68250000.0,125.0,,,6.0,3.0,2.0,,3.0,0.0,,,,,,1.0
,71000000.0,155.0,,,15.0,3.0,1.0,,2.0,0.0,1.0,0.0,,,3.0,1.0
,74900000.0,170.0,20.0,100.0,12.0,5.0,1.0,,,,1.0,1.0,,,3.0,1.0
,75000000.0,160.0,30.0,110.0,15.0,3.0,,,,,,,,,3.0,2.0
,99000000.0,345.0,50.0,295.0,17.0,6.0,,,3.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0
,125000000.0,400.0,30.0,200.0,1.0,5.0,,,3.0,0.0,1.0,0.0,,,0.0,2.0
,6881700.0,33.9,,19.9,2.0,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,,1.0
,7090000.0,33.0,,,2.0,1.0,,2.64,,,1.0,1.0,,,,1.0
,7200000.0,44.7,6.1,28.2,2.0,2.0,1.0,2.64,0.0,1.0,1.0,0.0,,,2.0,2.0
,7325000.0,32.8,3.4,22.0,5.0,1.0,,3.3,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
3.0,7551904.0,32.8,3.4,22.0,5.0,1.0,,3.3,1.0,0.0,,,,,,1.0
,7650000.0,28.5,8.0,15.0,8.0,1.0,,,0.0,1.0,0.0,1.0,,,2.0,1.0
3.0,8038764.0,34.83,8.8,15.0,2.0,1.0,,3.3,1.0,0.0,,,0.0,1.0,,1.0
,8450000.0,57.1,10.0,33.0,22.0,2.0,1.0,2.7,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
,8850000.0,37.8,,,4.0,1.0,,2.64,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0
,9500000.0,28.5,9.0,15.0,9.0,1.0,,,1.0,0.0,,,,,2.0,1.0
3.0,9626560.0,35.92,10.2,12.9,2.0,1.0,,3.0,1.0,0.0,0.0,1.0,,,,1.0
,10000000.0,54.0,9.0,32.0,5.0,2.0,1.0,2.64,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
,10600000.0,75.0,,46.0,1.0,3.0,,2.7,0.0,2.0,1.0,1.0,,,1.0,1.0
3.0,10836932.0,40.07,14.9,13.7,3.0,1.0,,3.0,0.0,1.0,0.0,1.0,,,,1.0
,10999999.0,82.0,11.0,47.0,10.0,3.0,,2.64,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,11185350.0,67.79,12.5,33.0,4.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,,1.0
3.0,11717436.0,60.26,17.1,26.8,9.0,2.0,,3.3,0.0,1.0,,,0.0,1.0,,1.0
,11700000.0,44.0,13.0,19.0,18.0,1.0,,2.7,1.0,0.0,,,1.0,1.0,3.0,2.0
,12354000.0,63.8,12.2,31.8,12.0,2.0,1.0,2.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3.0,13015095.0,58.33,11.1,31.7,18.0,2.0,,2.9,,,,,0.0,1.0,,1.0
,13150000.0,58.0,,46.0,9.0,2.0,,,0.0,1.0,,,1.0,0.0,2.0,1.0
,13500000.0,61.0,15.0,44.0,7.0,2.0,,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
,13616000.0,63.04,11.9,32.6,9.0,2.0,1.0,2.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
,14500000.0,50.0,12.0,20.0,9.0,1.0,,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
3.0,14756145.0,70.26,12.2,37.8,25.0,3.0,,3.3,1.0,1.0,,,0.0,1.0,,1.0
,14800000.0,66.0,,,6.0,2.0,,2.7,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0
,15078600.0,83.77,10.3,51.1,6.0,3.0,,,0.0,1.0,1.0,0.0,0.0,1.0,,1.0
,15000000.0,64.0,10.0,42.0,20.0,2.0,,,0.0,1.0,,,1.0,0.0,,2.0
,15150000.0,61.0,14.0,36.0,10.0,2.0,,3.0,2.0,0.0,1.0,0.0,1.0,0.0,,1.0
,15630000.0,74.8,16.9,34.7,18.0,2.0,1.0,2.8,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
,16000000.0,84.3,13.6,,2.0,3.0,,,0.0,1.0,,,1.0,0.0,0.0,2.0
,16300000.0,78.6,,,3.0,2.0,,,1.0,0.0,1.0,0.0,,,3.0,1.0
,16500000.0,71.0,12.0,35.0,23.0,2.0,,2.75,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
,16500000.0,76.4,10.2,45.8,8.0,3.0,1.0,2.64,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
,16500000.0,62.0,22.5,19.8,6.0,2.0,1.0,,2.0,0.0,,,,,2.0,1.0
,16500000.0,63.0,6.0,42.0,6.0,3.0,,3.0,2.0,0.0,0.0,1.0,,,3.0,2.0
3.0,16748004.0,65.73,14.2,27.8,21.0,2.0,,3.0,0.0,2.0,1.0,0.0,,,,1.0
,16900000.0,58.0,14.0,32.0,17.0,2.0,,2.9,1.0,0.0,0.0,1.0,,,,2.0
,17100000.0,52.0,,20.0,6.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
,17325835.0,99.5,12.6,59.1,18.0,4.0,1.0,2.8,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0
,18490000.0,62.0,15.0,40.0,7.0,3.0,,3.1,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0
,18900000.0,81.0,10.2,58.3,2.0,3.0,,2.7,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
,19500000.0,71.0,13.0,33.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0
,19800000.0,79.0,15.0,41.0,4.0,2.0,1.0,3.1,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0
3.0,20182733.0,106.14,37.6,44.4,26.0,3.0,,3.3,1.0,1.0,,,0.0,1.0,,1.0
,20450000.0,109.0,15.0,52.0,14.0,3.0,,2.9,1.0,1.0,1.0,1.0,0.0,2.0,,1.0
,20500000.0,80.0,13.0,45.0,16.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0
,20500000.0,47.9,12.6,20.7,15.0,1.0,,,1.0,0.0,,,,,2.0,1.0
3.0,21149444.0,119.3,15.9,64.0,2.0,4.0,,3.3,2.0,0.0,,,0.0,1.0,,1.0
,21300000.0,90.0,,,14.0,3.0,,,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
,21500000.0,84.0,,62.0,5.0,3.0,,2.7,1.0,0.0,1.0,1.0,,,,1.0
,22642000.0,103.25,27.0,39.9,11.0,3.0,1.0,3.3,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
,22800000.0,134.0,14.0,84.0,6.0,4.0,,2.85,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0
,23000000.0,147.0,10.4,79.0,1.0,5.0,1.0,,0.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0
,24150000.0,73.2,30.0,16.14,6.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
,24000000.0,78.0,14.0,34.0,15.0,2.0,,,,,1.0,0.0,1.0,0.0,0.0,2.0
,24500000.0,78.0,9.0,45.0,10.0,2.0,,,,,1.0,0.0,,,3.0,2.0
,24500000.0,86.2,13.6,66.6,23.0,3.0,,2.7,0.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0
3.0,25962672.0,68.5,,33.7,7.0,2.0,,3.45,,,,,,,,1.0
,26655000.0,130.23,19.3,65.8,21.0,4.0,1.0,3.3,2.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0
,27000000.0,106.0,31.0,,10.0,3.0,,,,,,,,,,1.0
,27000000.0,58.4,10.0,30.0,20.0,2.0,,,1.0,1.0,,,1.0,0.0,0.0,2.0
,27000000.0,126.0,33.0,90.0,21.0,4.0,,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0
,27990000.0,84.7,16.0,38.0,20.0,2.0,1.0,3.1,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
,28500000.0,75.3,12.0,40.2,13.0,2.0,1.0,,2.0,0.0,,,1.0,0.0,2.0,1.0
,29500000.0,93.0,,,1.0,2.0,1.0,,,,1.0,0.0,1.0,0.0,0.0,2.0
,29400000.0,78.0,15.0,50.0,23.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0
,30700000.0,128.0,27.0,90.0,5.0,4.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
,31000000.0,120.0,20.0,60.0,26.0,2.0,,,2.0,0.0,,,,,2.0,2.0
,31500000.0,170.0,20.0,140.0,24.0,4.0,1.0,,2.0,0.0,1.0,1.0,,,2.0,1.0
,31700000.0,137.0,20.0,80.0,20.0,4.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0
,32000000.0,96.6,,,11.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,32500000.0,90.5,,,2.0,2.0,,,,,1.0,1.0,,,0.0,1.0
,33000000.0,118.0,,,4.0,2.0,,,,,1.0,1.0,,,0.0,1.0
,33500000.0,60.3,,,2.0,2.0,,,,,1.0,1.0,,,0.0,1.0
,35500000.0,117.2,,,21.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,36000000.0,63.0,,,7.0,2.0,,,,,1.0,1.0,,,0.0,1.0
,35700000.0,90.0,,,11.0,2.0,,,,,1.0,1.0,,,0.0,1.0
,37000000.0,111.0,,,26.0,2.0,,,,,1.0,1.0,,,0.0,1.0
,39000000.0,169.0,,,4.0,4.0,,,,,1.0,1.0,,,0.0,1.0
,39000000.0,96.7,,,6.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,39150000.0,72.0,,,6.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,40733901.0,101.7,,,9.0,2.0,,,,,1.0,1.0,,,0.0,1.0
,43000000.0,136.0,,,18.0,4.0,,,,,1.0,1.0,,,0.0,1.0
,44890000.0,136.0,,,9.0,4.0,,,,,1.0,1.0,,,0.0,1.0
,47000000.0,124.2,,,22.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,47000000.0,132.0,,,7.0,5.0,,,,,1.0,1.0,,,0.0,1.0
,49000000.0,120.0,,,18.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,50000000.0,232.3,,,13.0,5.0,,,,,1.0,1.0,,,0.0,1.0
,50000000.0,100.0,,,44.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,50000000.0,149.7,,,2.0,4.0,,,,,1.0,1.0,,,0.0,1.0
,50700000.0,113.1,,,13.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,53000000.0,97.0,,,14.0,2.0,,,,,1.0,1.0,,,0.0,1.0
,53850000.0,71.8,,,3.0,2.0,,,,,1.0,1.0,,,0.0,1.0
,54500000.0,160.0,,,5.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,55000000.0,151.0,,,16.0,4.0,,,,,1.0,1.0,,,0.0,1.0
,55000000.0,129.0,,,7.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,56000000.0,170.0,,,21.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,59000000.0,152.0,,,6.0,4.0,,,,,1.0,1.0,,,0.0,1.0
,59990000.0,137.0,,,7.0,4.0,,,,,1.0,1.0,,,0.0,1.0
,60000000.0,160.0,,,6.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,61000000.0,128.0,,,22.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,62800000.0,111.0,,,11.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,65000000.0,138.8,,,12.0,4.0,,,,,1.0,1.0,,,0.0,1.0
,67700000.0,225.0,,,2.0,6.0,,,,,1.0,1.0,,,0.0,1.0
,69990000.0,136.6,,,11.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,72600000.0,120.8,,,6.0,2.0,,,,,1.0,1.0,,,0.0,1.0
,74900000.0,170.0,,,12.0,5.0,,,,,1.0,1.0,,,0.0,1.0
,74890000.0,141.0,,,11.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,74990000.0,140.0,,,11.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,77128000.0,124.4,,,28.0,2.0,,,,,1.0,1.0,,,0.0,1.0
,79000000.0,164.4,,,45.0,4.0,,3.3,,,0.0,1.0,,,0.0,2.0
,80000000.0,300.0,12.0,214.0,25.0,3.0,,,2.0,1.0,1.0,0.0,,,3.0,1.0
,81900000.0,190.0,20.0,110.0,9.0,4.0,,,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0
,83000000.0,136.0,11.3,90.2,3.0,4.0,,3.3,2.0,0.0,,,1.0,1.0,3.0,1.0
,83900000.0,165.0,15.0,110.0,1.0,5.0,,,2.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0
,85000000.0,172.0,15.0,110.0,5.0,4.0,,,2.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0
,89000000.0,228.0,25.0,140.0,17.0,5.0,,,,,1.0,0.0,,,0.0,2.0
,95000000.0,296.4,,,25.0,4.0,,3.0,0.0,3.0,,,,,3.0,1.0
,94990000.0,196.5,19.0,122.0,14.0,5.0,,,,,1.0,0.0,,,2.0,2.0
,98000000.0,290.0,44.8,140.0,10.0,5.0,1.0,,0.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0
,100732955.0,203.4,,,10.0,4.0,2.0,,3.0,0.0,,,,,,1.0
,105000000.0,190.0,20.0,120.0,31.0,5.0,,,0.0,3.0,1.0,1.0,,,0.0,1.0
,107244506.0,203.81,15.0,155.0,4.0,1.0,,,,,1.0,1.0,,,0.0,1.0
,116156760.0,178.7,15.0,135.0,3.0,3.0,,,,,1.0,1.0,,,0.0,1.0
,120000000.0,246.0,36.0,200.0,35.0,5.0,1.0,,4.0,0.0,,,,,0.0,1.0
,142383110.0,225.0,,,10.0,4.0,,,,,1.0,1.0,,,3.0,1.0
,145478395.0,162.0,20.0,130.0,47.0,3.0,2.0,3.3,2.0,0.0,1.0,1.0,,,3.0,1.0
,145000000.0,350.0,20.0,180.0,2.0,5.0,,,2.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0
,172000000.0,180.0,,,2.0,5.0,,3.3,0.0,4.0,,,,,,1.0
,185000000.0,346.0,42.8,181.8,5.0,6.0,,3.1,0.0,4.0,1.0,0.0,0.0,1.0,3.0,1.0
,198098240.0,625.0,24.0,350.0,8.0,1.0,,3.5,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
,216669950.0,376.0,20.0,270.0,4.0,6.0,,,3.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0
3.0,250755690.0,314.0,,,29.0,5.0,,,,,,,,,,1.0
,464286559.0,425.0,25.0,270.0,16.0,6.0,,,4.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0
2.0,10700000.0,36.0,8.5,20.5,18.0,1.0,,2.7,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
0.0,25550000.0,94.0,16.0,52.0,14.0,3.0,,3.1,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0
3.0,126617822.0,254.5,22.8,231.7,8.0,4.0,,4.0,2.0,1.0,,,1.0,0.0,,1.0
,40000000.0,133.0,38.0,67.0,18.0,4.0,,3.1,,,1.0,1.0,,,2.0,1.0
1.0,19990000.0,78.0,10.0,42.0,16.0,3.0,,,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0
3.0,94513522.0,228.6,20.2,131.4,37.0,5.0,,3.1,4.0,0.0,1.0,1.0,0.0,2.0,,1.0
1.0,11300000.0,50.4,13.1,20.1,15.0,1.0,,2.9,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
1.0,14300000.0,87.0,15.0,40.0,13.0,2.0,1.0,,1.0,0.0,1.0,0.0,,,2.0,1.0
3.0,22534880.0,101.6,14.4,63.2,17.0,4.0,,2.8,2.0,0.0,1.0,1.0,,,,1.0
3.0,28027127.0,128.7,19.3,65.8,24.0,4.0,,3.3,1.0,1.0,,,0.0,2.0,,1.0
1.0,29800000.0,141.0,14.5,78.2,3.0,4.0,1.0,3.1,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0
1.0,49900000.0,180.8,,,12.0,5.0,2.0,3.0,3.0,0.0,1.0,1.0,,,2.0,2.0
1.0,58500000.0,210.0,12.6,138.3,24.0,4.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0
1.0,71990000.0,185.0,18.1,126.6,17.0,4.0,1.0,,2.0,0.0,0.0,1.0,,,3.0,2.0
0.0,80000000.0,210.0,20.0,152.0,11.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,,,3.0,1.0
0.0,89763265.0,180.0,30.0,101.0,3.0,3.0,,,,,1.0,0.0,,,2.0,2.0
0.0,134900000.0,190.0,25.0,100.0,2.0,4.0,,,,,1.0,1.0,0.0,2.0,2.0,2.0
1.0,6500000.0,35.0,10.0,20.0,12.0,1.0,,,,,,,1.0,0.0,1.0,1.0
1.0,9600000.0,76.0,10.0,43.3,12.0,3.0,1.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1.0,12000000.0,73.0,8.5,47.0,9.0,3.0,1.0,,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0
1.0,12500000.0,54.0,9.2,32.0,8.0,2.0,1.0,2.8,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
1.0,13500000.0,52.0,9.0,30.0,22.0,2.0,1.0,,,,,,,,1.0,1.0
1.0,14090000.0,59.6,11.0,31.4,17.0,2.0,1.0,,0.0,1.0,1.0,0.0,,,2.0,1.0
1.0,15000000.0,53.0,10.2,28.7,8.0,2.0,1.0,2.8,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1.0,15100000.0,57.9,10.0,31.0,3.0,2.0,1.0,2.7,2.0,0.0,1.0,1.0,,,2.0,1.0
1.0,15499000.0,76.5,10.0,46.0,7.0,3.0,,,,,,,,,,0.0
2.0,18500000.0,61.0,12.0,43.0,13.0,2.0,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0
1.0,22000000.0,64.4,20.0,28.0,16.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,,,3.0,1.0
2.0,30000000.0,109.0,9.0,66.0,2.0,3.0,1.0,,1.0,0.0,0.0,1.0,,,1.0,1.0
1.0,32000000.0,53.2,,,6.0,2.0,,,,,0.0,1.0,,,3.0,2.0
1.0,34500000.0,135.0,15.3,,2.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,,,0.0,2.0
0.0,39990000.0,106.0,,,4.0,3.0,,,2.0,0.0,0.0,1.0,,,0.0,2.0
1.0,47900000.0,201.0,,153.0,14.0,3.0,1.0,,2.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0
1.0,65000000.0,190.0,19.0,117.0,13.0,4.0,1.0,,2.0,0.0,1.0,1.0,,,3.0,2.0
0.0,80000000.0,192.0,20.0,92.0,15.0,4.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
1.0,99000000.0,319.0,20.0,,17.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,4.0,3.0,2.0
0.0,111430260.0,242.0,35.0,180.0,38.0,4.0,,,,,0.0,1.0,,,0.0,2.0
3.0,5894640.0,21.6,5.6,10.2,19.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,5918400.0,27.4,6.9,11.3,3.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,6390720.0,25.2,6.5,11.9,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
1.0,6500000.0,38.9,8.8,20.8,2.0,1.0,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0
3.0,7245520.0,32.8,10.7,11.5,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
1.0,7200000.0,39.0,8.3,17.0,11.0,1.0,,2.6,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
0.0,7400000.0,32.0,6.0,18.0,3.0,1.0,,2.64,1.0,0.0,,,1.0,0.0,1.0,2.0
3.0,7593883.0,36.45,9.2,15.3,2.0,1.0,,3.3,1.0,0.0,,,0.0,1.0,,1.0
0.0,7590000.0,50.0,6.0,34.0,3.0,3.0,,,,,,,,,,0.0
0.0,7600000.0,40.5,11.1,16.7,2.0,1.0,,,0.0,1.0,1.0,0.0,1.0,0.0,,1.0
,7670150.0,42.85,,31.4,2.0,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,,1.0
,7899000.0,45.0,7.6,27.9,3.0,2.0,,,,,,,,,,0.0
3.0,7969750.0,35.5,10.7,16.9,25.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,7992380.0,37.4,18.1,10.9,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,8123900.0,34.11,8.8,15.1,24.0,1.0,,3.3,1.0,0.0,,,0.0,1.0,,1.0
3.0,8284440.0,39.3,19.6,11.2,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
1.0,8300000.0,43.5,5.8,30.8,1.0,2.0,0.0,,1.0,0.0,0.0,1.0,,,0.0,2.0
2.0,8500000.0,34.0,9.3,18.0,7.0,1.0,,,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0
3.0,8749372.0,44.46,14.5,18.0,24.0,1.0,,3.3,1.0,0.0,,,,,,1.0
3.0,8765590.0,46.7,20.1,13.3,6.0,1.0,,2.65,1.0,0.0,1.0,0.0,1.0,0.0,,1.0
3.0,8895300.0,44.7,22.4,12.1,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,8832580.0,42.1,19.6,13.1,12.0,1.0,,2.65,1.0,0.0,1.0,0.0,1.0,0.0,,1.0
,8853600.0,42.0,13.0,15.7,8.0,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,,1.0
3.0,8918542.0,40.4,12.3,17.1,2.0,1.0,,3.3,1.0,0.0,,,0.0,1.0,,1.0
2.0,8950000.0,37.5,8.5,19.0,7.0,1.0,,2.64,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
3.0,9223200.0,36.6,,,4.0,1.0,,3.0,1.0,0.0,0.0,1.0,,,,1.0
1.0,9250000.0,45.0,8.0,32.0,3.0,2.0,,,,,,,,,,0.0
0.0,9250000.0,46.0,6.5,30.0,5.0,2.0,1.0,2.64,0.0,1.0,,,,,1.0,1.0
3.0,9376500.0,39.9,11.7,17.8,2.0,1.0,,2.85,1.0,0.0,1.0,0.0,,,,1.0
1.0,9533680.0,51.5,13.1,20.1,21.0,1.0,,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
